left,right,distance,same_patient_group
disease_001582_3b3547ea,disease_011006_da4b6faa,0,True
disease_001582_3b3547ea,disease_011007_810400cf,0,True
disease_001582_3b3547ea,disease_000004_3bf98ae5,0,True
disease_001583_43ae5152,disease_001584_6c4ffce8,0,True
disease_001583_43ae5152,disease_001586_ceac2b25,0,True
disease_001583_43ae5152,disease_000005_4049f723,0,True
disease_001584_6c4ffce8,disease_001586_ceac2b25,0,True
disease_001584_6c4ffce8,disease_000005_4049f723,0,True
disease_001586_ceac2b25,disease_000005_4049f723,0,True
disease_001587_4fa93eaf,disease_001588_2d39b28f,0,True
disease_001587_4fa93eaf,disease_001589_8f8fc9e8,0,True
disease_001588_2d39b28f,disease_001589_8f8fc9e8,0,True
disease_001590_b1fdca7e,disease_001591_7fcde17e,0,True
disease_001590_b1fdca7e,disease_001592_8a60f701,0,True
disease_001591_7fcde17e,disease_001592_8a60f701,0,True
disease_001593_526637f6,disease_011010_52db47f7,0,True
disease_001594_9381e089,disease_001595_1a6df46b,0,True
disease_001594_9381e089,disease_001596_51ac5d35,2,True
disease_001595_1a6df46b,disease_001596_51ac5d35,2,True
disease_001597_2bbc4359,disease_000006_b491624a,0,True
disease_001598_5cfa13bb,disease_011011_1bb6e013,2,True
disease_001599_3483d442,disease_001600_67bb794e,0,True
disease_001599_3483d442,disease_001601_acea70cb,0,True
disease_001600_67bb794e,disease_001601_acea70cb,0,True
disease_001602_acbc0bbe,disease_013396_19f2c875,2,True
disease_001602_acbc0bbe,disease_013397_96403e70,2,True
disease_001602_acbc0bbe,disease_000007_57764e07,0,True
disease_001603_c2fd09ae,disease_000008_0987b94c,0,True
disease_001604_b1bd358f,disease_000009_40368096,0,True
disease_001605_02b6b576,disease_001606_076a6882,0,True
disease_001605_02b6b576,disease_011014_ae831d87,0,True
disease_001605_02b6b576,disease_000010_77ba2104,0,True
disease_001606_076a6882,disease_011014_ae831d87,0,True
disease_001606_076a6882,disease_000010_77ba2104,0,True
disease_001607_e5a73a1e,disease_001608_2eb77444,2,True
disease_001607_e5a73a1e,disease_001609_41063dd9,2,True
disease_001608_2eb77444,disease_001609_41063dd9,0,True
disease_001610_f24b87d9,disease_011017_439edfd7,0,True
disease_001611_40ee00b7,disease_000011_6b0b2a37,0,True
disease_001612_0930c820,disease_001613_bab5a785,0,True
disease_001612_0930c820,disease_001614_99e99b18,0,True
disease_001612_0930c820,disease_011018_6b2519e3,0,True
disease_001612_0930c820,disease_011019_8d836bed,0,True
disease_001613_bab5a785,disease_001614_99e99b18,0,True
disease_001613_bab5a785,disease_011018_6b2519e3,0,True
disease_001613_bab5a785,disease_011019_8d836bed,0,True
disease_001614_99e99b18,disease_011018_6b2519e3,0,True
disease_001614_99e99b18,disease_011019_8d836bed,0,True
disease_001615_3e98ccb5,disease_001616_65174b5d,0,True
disease_001615_3e98ccb5,disease_001617_cd8f6c71,0,True
disease_001616_65174b5d,disease_001617_cd8f6c71,0,True
disease_001618_37c91207,disease_000012_1f7f4c04,0,True
disease_001619_400f13f3,disease_000013_377ed698,0,True
disease_001620_53baa159,disease_011020_a36ed0b5,0,True
disease_001621_ba7d3a8a,disease_001622_7bc2c823,0,True
disease_001621_ba7d3a8a,disease_001623_7d75f50b,2,True
disease_001622_7bc2c823,disease_001623_7d75f50b,2,True
disease_001624_2471ed7e,disease_011021_32549304,0,True
disease_001625_3c4885c7,disease_001626_07c24b88,0,True
disease_001625_3c4885c7,disease_001627_45f39163,0,True
disease_001626_07c24b88,disease_001627_45f39163,0,True
disease_001628_33c46ea2,disease_001629_f43ab3b1,0,True
disease_001628_33c46ea2,disease_001630_1f82a340,0,True
disease_001629_f43ab3b1,disease_001630_1f82a340,0,True
disease_001631_2cb47289,disease_001632_b0ee4c67,0,True
disease_001631_2cb47289,disease_001633_57d5270c,0,True
disease_001631_2cb47289,disease_001634_7c599390,0,True
disease_001631_2cb47289,disease_011022_f02967f1,0,True
disease_001632_b0ee4c67,disease_001633_57d5270c,0,True
disease_001632_b0ee4c67,disease_001634_7c599390,0,True
disease_001632_b0ee4c67,disease_011022_f02967f1,0,True
disease_001633_57d5270c,disease_001634_7c599390,0,True
